agent_id,agent_name,model_preference
agent:yoda,Yoda,ollama/deepseek-v4-pro:cloud
agent:aria,Aria,ollama/deepseek-v4-pro:cloud
agent:atlas,Atlas,ollama/deepseek-v4-pro:cloud
agent:forge,Forge,ollama/deepseek-v4-pro:cloud
agent:thrawn,Thrawn,ollama/deepseek-v4-pro:cloud
agent:ahsoka,Ahsoka,ollama/deepseek-v4-pro:cloud
agent:krennic,Krennic,ollama/deepseek-v4-pro:cloud
agent:lando,Lando,ollama/deepseek-v4-pro:cloud
agent:monmothma,Mon Mothma,ollama/deepseek-v4-pro:cloud
agent:spark,Spark,ollama/deepseek-v4-pro:cloud
agent:warden,Warden,ollama/kimi-k2.6:cloud
agent:lex,Lex,ollama/kimi-k2.6:cloud
agent:sage,Sage,ollama/kimi-k2.6:cloud
agent:shield,Shield,ollama/kimi-k2.6:cloud
